category,type,difficulty,question,correct_answer,incorrect_answers
"History","multiple","medium","Who was the first wife of King Henry VIII?","Catherine of Aragon","Jane Seymour|Anne Boleyn|Anne of Cleves"
"Science: Computers","boolean","easy","RAM stands for Random Access Memory.","True","False"
"Entertainment: Video Games","multiple","easy","Which of these is NOT a team available in the game Pok&eacute;mon Go?","Team Rocket","Team Instinct|Team Valor|Team Mystic"
"Politics","boolean","easy","Despite being seperated into multiple countries, The Scandinavian countries are unified by all having the same monarch.","False","True"
"History","multiple","easy","Which game was the Game of the Year in 2018?","God of War","Detroit: Become Human|Red Dead Redemption 2|A Way Out"
"Science &amp; Nature","boolean","medium","The Neanderthals were a direct ancestor of modern humans.","False","True"
"Entertainment: Comics","multiple","hard","What is the real hair colour of the mainstream comic book version (Earth-616) of Daredevil?","Blonde","Auburn|Brown|Black"
"Entertainment: Television","multiple","medium","From what show is the character &quot;James Doakes&quot;? ","Dexter","Marvel&#039;s Daredevil|Boardwalk Empire|The Walking Dead"
"Entertainment: Music","boolean","easy","John Williams composed the music for &quot;Star Wars&quot;.","True","False"
"Entertainment: Video Games","multiple","medium","During the game&#039;s development, what was the first ever created Pok&eacute;mon?","Rhyhorn","Bulbasaur|Mew|Arceus"
"Entertainment: Cartoon &amp; Animations","multiple","easy","Which of the following did not feature in the cartoon &#039;Wacky Races&#039;?","The Dragon Wagon","The Bouldermobile|The Crimson Haybailer|The Compact Pussycat"
"General Knowledge","boolean","easy","Scotland voted to become an independent country during the referendum from September 2014.","False","True"
"Entertainment: Music","multiple","medium","Liam Howlett founded which electronic music group in 1990?","The Prodigy","The Chemical Brothers|The Crystal Method|Infected Mushroom"
"Entertainment: Video Games","multiple","hard","In &quot;Earthbound&quot;, how does one enter &quot;Master Belch&#039;s&quot; factory?","Wait 3 Minutes","Enter the password &quot;Fly Honey&quot;|Enter the password &quot;Master Belch Rules&quot;|Enter the password &quot;Mr Saturn Drools&quot;"
"Sports","boolean","medium","Skateboarding was included in the 2020 Summer Olympics in Tokyo.","True","False"
"Entertainment: Video Games","multiple","hard","Which of these weapon classes DO NOT appear in the first Monster Hunter game?","Bow ","Hammer|Heavy Bowgun|Light Bowgun"
"Science: Computers","multiple","easy","What does the &quot;MP&quot; stand for in MP3?","Moving Picture","Music Player|Multi Pass|Micro Point"
"Entertainment: Japanese Anime &amp; Manga","multiple","hard","Which animation studio animated &quot;Hidamari Sketch&quot;?","Shaft","Trigger|Kyoto Animation|Production I.G"
"Sports","multiple","medium","What is the name of the AHL affiliate of the Toronto Maple Leafs?","Toronto Marlies","Toronto Rock|Toronto Argonauts|Toronto Wolfpack"
"Science &amp; Nature","boolean","easy","The Earth revolves around the Sun in one year.","True","False"
"Entertainment: Video Games","multiple","medium","Who composed the soundtrack for the game VVVVVV?","Magnus P&aring;lsson","Terry Cavanagh|Danny Baranowsky|Joel Zimmerman"
"Entertainment: Video Games","multiple","medium","Which of these is NOT the name of a playable map in PUBG: Battlegrounds?","Orinocco","Miramar|Sanhok|Vikendi"
"Entertainment: Film","multiple","easy","What is the oldest Disney film?","Snow White and the Seven Dwarfs","Pinocchio|Dumbo|Fantasia"
"Entertainment: Video Games","multiple","medium","What was the game &quot;Galaga&quot; was a sequel to?","Galaxian","Galactica|Space Invaders|Galactic Wars"
"Animals","multiple","hard","What scientific suborder does the family Hyaenidae belong to?","Feliformia","Haplorhini|Caniformia|Ciconiiformes"
"Celebrities","multiple","easy","Which actress married Michael Douglas in 2000?","Catherine Zeta-Jones","Ruth Jones|Pam Ferris|Sara Sugarman"
"Entertainment: Video Games","multiple","medium","What was the name of the Secret Organization in the Hotline Miami series? ","50 Blessings","American Blessings|50 Saints|USSR&#039;s Blessings"
"Sports","multiple","hard","Which female player won the gold medal of table tennis singles in 2016 Olympics Games?","DING Ning (China)","LI Xiaoxia (China)|Ai FUKUHARA (Japan)|Song KIM (North Korea)"
"Entertainment: Comics","multiple","medium","What&#039;s the name of Batman&#039;s parents?","Thomas &amp; Martha","Joey &amp; Jackie|Jason &amp; Sarah|Todd &amp; Mira"
"Art","boolean","easy","Leonardo da Vinci was not the creator of the Mona Lisa.","False","True"
"History","multiple","medium","Where and when was the first cardboard box made for industrial use?","England, 1817","United States, 1817|England, 1917|United States, 1917"
"Entertainment: Video Games","multiple","hard","In the game &quot;The Sims&quot;, how many Simoleons does each family start with?","20,000","10,000|15,000|25,000"
"Entertainment: Television","multiple","medium","In &quot;Spongebob Squarepants,&quot; what is Mr. Krabs&#039; full name?","Eugene H. Krabs","Eugene G. Krabs|Eugene J. Krabs|Eugene D. Krabs"
"Entertainment: Television","multiple","medium","Who was the original voice actor of Shaggy Rogers in Scooby-Doo?","Casey Kasem","Dante Basco|Billy West|Frank Welker"
"Entertainment: Video Games","multiple","hard","In &quot;Final Fantasy VI&quot;, what is the name of (summoned) Gilgamesh&#039;s weakest attack?","Excalipoor","Excalibore|Excalisnore|Excalisore"
"Entertainment: Film","multiple","medium","In Star Wars, what&#039;s the name of the new Government created after the defeat of the Galactic Empire?","The New Republic","The Rebel Alliance|The Crimson Dawn|The First Order"
"Geography","multiple","easy","Which country was NOT part of the Soviet Union?","Romania","Turkmenistan|Belarus|Tajikistan"
"Sports","multiple","medium","Which nation hosted the FIFA World Cup in 2006?","Germany","United Kingdom|Brazil|South Africa"
"Entertainment: Video Games","multiple","easy","In Counter-Strike: Global Offensive, what&#039;s the rarity of discontinued skins called?","Contraband","Discontinued|Diminished|Limited"
"Sports","multiple","easy","Who won the 2017 Formula One World Drivers&#039; Championship?","Lewis Hamilton","Sebastian Vettel|Nico Rosberg|Max Verstappen"
"Entertainment: Video Games","boolean","medium","In the Season One Championship of &quot;League of Legends&quot;, the highest achievable rank was Diamond.","False","True"
"Entertainment: Music","multiple","medium","How many members are in the Japanese rock band SCANDAL?","4","5|2|18"
"Entertainment: Board Games","multiple","easy","How many spaces are there on a standard Monopoly board?","40","28|55|36"
"Entertainment: Music","multiple","medium","Which of these songs did Jimi Hendrix cover?","All of these songs","Sgt. Pepper&#039;s Lonely Hearts Club Band|All Along the Watchtower|House of the Rising Sun"
"Geography","multiple","medium","What is the capital of Seychelles?","Victoria","Luanda|N&#039;Djamena|Tripoli"
"Entertainment: Music","multiple","medium","Which of these is NOT a song by Pegboard Nerds?","WiFi Tears","Swamp Thing|Emoji|BAMF"
"Entertainment: Video Games","multiple","medium","In the video game DOTA 2, which of these is NOT a hero?","Dragon Champion","Dark Seer|Keeper of the Light|Mirana"
"Entertainment: Video Games","multiple","medium","In &quot;PAYDAY 2&quot;, what weapon has the highest base weapon damage on a per-shot basis?","HRL-7","Heavy Crossbow|Thanatos .50 cal|Broomstick Pistol"
"Entertainment: Comics","multiple","medium","In &quot;Sonic the Hedgehog&quot; comic, who was the creator of Roboticizer? ","Professor Charles the Hedgehog","Julian Robotnik|Ivo Robotnik|Snively Robotnik"
"Art","multiple","medium","Which time signature is commonly known as &ldquo;Cut Time?&rdquo;","2/2","4/4|6/8|3/4"
"Entertainment: Television","multiple","medium","Which character does voice actress Tara Strong NOT voice?","Bubbles (2016)","Twilight Sparkle|Timmy Turner|Harley Quinn"
"Sports","multiple","hard","Who scored the injury time winning goal in the 1999 UEFA Champions League final between Manchester United and Bayern Munich?","Ole Gunnar Solskj&aelig;r","Dwight Yorke|Andy Cole|David Beckham"
"Entertainment: Video Games","multiple","easy","What power does Max Caulfield from &quot;Life is Strange&quot; have?","Rewinding Time","Invisibility|Telepathy|Super Strength"
"Entertainment: Video Games","multiple","medium","Of the following space shooter games, which came out first?","Space Invaders","Galaxian|Galaga|Sinistar"
"General Knowledge","boolean","medium","SCP-173 was the first SCP article written for the web-based collaborative fiction project known as the &quot;SCP Foundation&quot;","True","False"
"Entertainment: Video Games","multiple","easy","Which member of the Velvet Room is not a playable character in Persona 4 Arena Ultimax?","Theodore","Elizabeth|Margaret|Marie"
"Entertainment: Television","multiple","easy","In season one of the Netflix political drama &quot;House of Cards&quot;, what government position does Frank Underwood hold?","House Majority Whip","Attorney General|President|Chief of Staff"
"Politics","multiple","medium","Who was the 40th President of the USA?","Ronald Reagan","Jimmy Carter|Bill Clinton|Richard Nixon"
"Entertainment: Music","multiple","medium","What&#039;s the most common time signature for rock songs?","4/4","1/2|8/12|2/4"
"Entertainment: Video Games","multiple","medium","What is the name of the protagonist&#039;s first Persona in &quot;Persona 5&quot;?","Arsene","Mara|Izanagi|Sandaphlon"
"Science: Mathematics","multiple","medium","What are the first 6 digits of the number &quot;Pi&quot;?","3.14159","3.14169|3.12423|3.25812"
"Animals","multiple","medium","What dog breed is one of the oldest breeds of dog and has flourished since before 400 BCE.","Pugs","Bulldogs|Boxers|Chihuahua"
"Entertainment: Television","multiple","medium","In the original Doctor Who series (1963), fourth doctor Tom Baker&#039;s scarf was how long?","7 Meters","10 Meters|2 Meters|5 Meters"
"Geography","multiple","easy","What country is the second largest in the world by area?","Canada","Russia|China|United States of America"
"Science &amp; Nature","multiple","easy","What is the hottest planet in the solar system","Venus","Jupiter|Mercury |Mars"
"General Knowledge","boolean","medium","Crystal Pepsi was first sold in US markets in 1993.","False","True"
"Entertainment: Music","multiple","medium","Which of these is not an Ed Sheeran album?","-","+|X|&divide;"
"Entertainment: Video Games","multiple","medium","Which country is featured in Ace Combat 5: The Unsung War?","Osea","Aurelia|Australia|Japan"
"Entertainment: Video Games","multiple","medium","What is the name of the only female &quot;Original Four&quot; Kerbal in Kerbal Space Program?","Valentina Kerman","Emiko Kerman|Samantha Kerman|Catmund Kerman"
"History","multiple","medium","Who was the main developer of the Suez Canal?","Ferdinand de Lesseps","Louis-Eug&egrave;ne Cavaignac|John Milton|Johann Lukas von Hildebrandt"
"Entertainment: Video Games","multiple","medium","Which of the following colors does the Zombie eyes glow in the &quot;Nuketown&quot; map in &quot;Call of Duty: Black Ops II&quot; Zombies mode?","Yellow and Blue","Yellow and Red|Red and Blue|Blue and White"
"Entertainment: Television","boolean","easy","Klingons express emotion in art through opera and poetry.","True","False"
"Entertainment: Video Games","multiple","easy","In the &quot;Worms&quot; series of video games, which of these weapons is affected by wind?","Bazooka","Grenade|Air Strike|Mortar"
"Entertainment: Television","multiple","hard","In the show &#039;Doctor Who&#039;, what is the name of the time-capsule model stolen by &#039;the Doctor&#039;?","TT Type 40, Mark 3 (TARDIS)","TT Type 1, Mark 3 (TARDIS)|TT Type 40, Mark 5 (TARDIS)|TT Type 1, Mark 5 (TARDIS)"
"Animals","multiple","hard","What is the scientific name of the cheetah?","Acinonyx jubatus","Panthera onca|Lynx rufus|Felis catus"
"General Knowledge","boolean","easy","Bulls are attracted to the color red.","False","True"
"Entertainment: Television","multiple","hard","Who played the sun baby in the original run of Teletubbies?","Jessica Smith","Pui Fan Lee|Sue Monroe|Lisa Brockwell"
"Entertainment: Video Games","multiple","easy","What is the name of the adventurer you meet at the mines in Stardew Valley?","Marlon","Marnie|Morris|Marvin"
"Entertainment: Japanese Anime &amp; Manga","multiple","hard","In &quot;Highschool of the Dead&quot;, where did Komuro and Saeko establish to meet after the bus explosion?","Eastern Police Station","The Center Mall|Komuro&#039;s House|On The Main Bridge"
"Science &amp; Nature","multiple","hard","Autosomal-dominant Compelling Helio-Ophthalmic Outburst syndrome is the need to do what when seeing the Sun?","Sneeze","Cough|Yawn|Hiccup"
"Mythology","boolean","easy","In the Greek Mythology, the Gorgon can turn those who behold her to stone.","True","False"
"Entertainment: Video Games","boolean","easy","In &quot;Undertale&quot;, the main character of the game is Sans.","False","True"
"Entertainment: Video Games","multiple","medium","Which of these characters is NOT a boss in Crash Bash?","Ripper Roo","Papu Papu|Komodo brothers|Nitros Oxide"
"Geography","boolean","medium","Liechtenstein does not have an airport.","True","False"
"Entertainment: Books","boolean","easy","&quot;Green Eggs and Ham&quot; consists of only 50 different words.","True","False"
"Entertainment: Film","multiple","easy","Who wrote and directed the 1986 film &#039;Platoon&#039;?","Oliver Stone","Francis Ford Coppola|Stanley Kubrick|Michael Cimino"
"Entertainment: Board Games","multiple","medium","What special item did the creators of Cards Against Humanity ship for their Black Friday pack?","Bull Feces","A Card Expansion|A Racist Toy|Cat Urine"
"History","boolean","hard","During the Winter War, the amount of Soviet Union soliders that died or went missing was five times more than Finland&#039;s.","True","False"
"Entertainment: Film","boolean","easy","The 2010 film &quot;The Social Network&quot; is a biographical drama film about MySpace founder Tom Anderson.","False","True"
"Entertainment: Video Games","multiple","medium","Which of the following is not a real Pok&eacute;mon?","Luminid","Dragalge|Mandibuzz|Araquanid"
"Entertainment: Video Games","multiple","easy","What is the title of song on the main menu in Halo?","Halo","Opening Suite|Shadows|Suite Autumn"
"General Knowledge","multiple","medium","The lesser-known continuation of the saying &quot;Curiosity killed the cat...&quot; is:","&quot;...but satisfaction brought it back.&quot;","&quot;...and the silent mouse remained thereat.&quot;|&quot;...which taught it not to do that.&quot;|&quot;...but death by the truth is better than ignorance.&quot;"
"Entertainment: Film","multiple","medium","In the movie &quot;Back to the Future,&quot; what speed does Doc Brown&#039;s DeLorean need to reach in order to travel through time?","88 mph","77 mph|100 mph|70 mph"
"Entertainment: Film","multiple","hard","What is the name of the supercomputer located in the control room in &quot;Jurassic Park&quot; (1993)?","Thinking Machines CM-5","Cray X-MP|Cray XK7|IBM Blue Gene/Q"
"Animals","multiple","hard","Which of these animals is NOT a lizard?","Tuatara","Komodo Dragon|Gila Monster|Green Iguana"
"General Knowledge","multiple","hard","What is the romanized Chinese word for &quot;airplane&quot;?","Feiji","Qiche|Zongxian|Huojian"
"Entertainment: Film","multiple","easy","What was Dorothy&#039;s surname in &#039;The Wizard Of Oz&#039;?","Gale","Perkins|Day|Parker"
"Entertainment: Japanese Anime &amp; Manga","multiple","easy","Satella in &quot;Re:Zero&quot; is the witch of what?","Envy","Pride|Sloth|Wrath"
"History","multiple","easy","The original Roman alphabet lacked the following letters EXCEPT:","X","W|U|J"
"Entertainment: Video Games","multiple","easy","In the game Nuclear Throne, what character is only usable in a play through with Melting?","Skeleton","Frog|Horror|Plant"
"General Knowledge","multiple","hard","The word &quot;aprosexia&quot; means which of the following?","The inability to concentrate on anything","The inability to make decisions|A feverish desire to rip one&#039;s clothes off|The inability to stand up"
"Science &amp; Nature","multiple","medium","What polymer is used to make CDs, safety goggles and riot shields?","Polycarbonate","Rubber|Nylon|Bakelite"
"Entertainment: Video Games","multiple","medium","How old is Chloe Price in Life is Strange: Before the Storm?","16","24|19|15"
"Entertainment: Music","multiple","medium","Which of these artists was NOT a member of the electronic music supergroup Swedish House Mafia, which split up in 2013?","Alesso","Steve Angello|Sebastian Ingrosso|Axwell"
"Entertainment: Video Games","multiple","hard","In the game Danganronpa: Happy Trigger Havoc, the character Aoi Asahina&#039;s ultimate ability is what?","Ultimate Swimmer","Ultimate Detective|Ultimate Gambler|Ultimate Dancer"
"Entertainment: Music","multiple","medium","Korean girl group TWICE is under which Entertainment Label?","JYP","MBK|YG|Stone Music"
"Entertainment: Japanese Anime &amp; Manga","multiple","medium","In &quot;Highschool DxD&quot;, what is the name of the item some humans are born with?","Sacred Gear","Imperial Arm|Hallowed Relic|Blessed Artifact"
"Sports","multiple","hard","With which doubles partner did John McEnroe have most success?","Peter Fleming","Mark Woodforde|Michael Stich|Mary Carillo"
"Entertainment: Books","multiple","hard","In The Lies Of Locke Lamora, what does &quot;Lamora&quot; mean in Throne Therin?","Shadow","Thievery|Justice|Chaos"
"Entertainment: Japanese Anime &amp; Manga","multiple","medium","Which of these is not a world in the anime &quot;Buddyfight&quot;?","Ancient Dragon World","Dragon World|Star Dragon World|Darkness Dragon World"
"Entertainment: Film","boolean","easy","&quot;Foodfight!&quot; earned less than $80,000 at box office.","True","False"
"Entertainment: Film","boolean","medium","The Xenomorph from the science fiction film &quot;Alien&quot; has acidic blood.","True","False"
"Mythology","multiple","medium","Which of these Roman gods doesn&#039;t have a counterpart in Greek mythology?","Janus","Vulcan|Juno|Mars"
"General Knowledge","multiple","easy","Which of the following is not an Ivy League University?","Stanford","University of Pennsylvania|Harvard|Princeton"
"Entertainment: Television","multiple","medium","In Naruto: Shippuden, which of the following elements is a &quot;Kekkei Tōta?&quot;","Particle Style","Any Doujutsu|Shadow Style|Ice Style"
"Science &amp; Nature","multiple","medium","Which of these choices is not one of the phases of mitosis?","Diplophase","Metaphase|Anaphase|Telophase"
"Entertainment: Video Games","multiple","easy","In Overwatch, which ape species is the hero Winston?","Gorilla","Orangutan|Chimpanzee|Gibbon"
"Entertainment: Film","multiple","hard","What three movies, in order from release date, make up the &quot;Dollars Trilogy&quot;?","&quot;A Fistful of Dollars&quot;, &quot;For a Few Dollars More&quot;, &quot;The Good, the Bad, and the Ugly&quot;","&quot;The Good, the Bad, and the Ugly&quot;, &quot;For A Few Dollars More&quot;, &quot;A Fistful of Dollars&quot;|&quot;For a Few Dollars More&quot;, &quot;The Good, the Bad, and the Ugly&quot;, &quot;A Fistful of Dollars&quot;|&quot;For a Few Dollars More&quot;, &quot;A Fistful of Dollars&quot;, &quot;The Good, the Bad, and the Ugly&quot;"
"Entertainment: Music","multiple","easy","Whose albums included &quot;Back in Black&quot; and &quot;Ballbreaker&quot;?","AC/DC","Iron Maiden|Black Sabbath|Metallica"
"Entertainment: Japanese Anime &amp; Manga","multiple","medium","In &quot;To Love-Ru&quot;, who is the first to hear of Yami&#039;s past from her?","Rito","Mikan|Lala|Haruna"
"Entertainment: Video Games","multiple","easy","In which year was League of Legends released?","2009","2010|2003|2001"
"Science: Computers","boolean","easy","A Mac is not a PC","False","True"
"Entertainment: Video Games","multiple","medium","Who is the main villain of the Crash Bandicoot series?","Dr. Neo Cortex","Dr. Evo-Cortex|Dr. Cortox|Sir Cartex"
"Mythology","multiple","medium","In Greek mythology, Persephone must return to the underworld because she had eaten what kind of seeds?","Pomegranate","Sunflower|Orange|Fig"
"General Knowledge","multiple","easy","What is the name of the antagonist group in Danganronpa Another Episode: Ultra Despair Girls?","Warriors of Hope","The Monokubs|Warriors of Despair|The Ultimate Despair"
"Entertainment: Music","multiple","medium","What M83 was featured in Grand Theft Auto V&#039;s radio?","Midnight City","Outro|Reunion|Wait"
"Entertainment: Video Games","boolean","hard","Grand Theft Auto V is the fifteenth installment of the Grand Theft Auto series.","True","False"
"Celebrities","multiple","medium","If he was still alive, in what year would Elvis Presley celebrate his 100th birthday?","2035","2030|2040|2045"
"Entertainment: Japanese Anime &amp; Manga","multiple","medium","Who was the first Legendary Pokemon to be defeated by Ash Ketchum in the Pok&eacute;mon anime?","Articuno","Darkrai|Latios|Regice"
"Entertainment: Music","multiple","easy","What was the best selling album of 2015?","Adele, 25","Fetty Wap, Fetty Wap|Taylor Swift, 1989|Justin Bieber, Purpose"
"Science &amp; Nature","boolean","medium","Centripetal force is an apparent force that acts outward on a body moving around a center, arising from the body&#039;s inertia.","False","True"
"History","multiple","hard","What Southeast Asian country was formerly known as &#039;Lan Xang&#039;?","Laos","Cambodia|Vietnam|Thailand"
"Entertainment: Video Games","multiple","easy","How many times do you fight Gilgamesh in &quot;Final Fantasy 5&quot;?","6","4|5|3"
"Entertainment: Books","boolean","easy","The Harry Potter series of books, combined, are over 1,000,000 words in length.","True","False"
"General Knowledge","boolean","medium","Instant mashed potatoes were invented by Canadian Edward Asselbergs in 1962.","True","False"
"Entertainment: Japanese Anime &amp; Manga","multiple","easy","What color is Ryūko Matoi&#039;s half of the Scissor Blade in the anime Kill la KIll?","Red","Green|Blue|Purple"
"Entertainment: Film","multiple","medium","What is Lilo&#039;s last name from Lilo and Stitch?","Pelekai","Anoaʻi|Kealoha|Kuʻulei"
"History","multiple","medium","In the War of the Pacific (1879 - 1883), Bolivia lost its access to the Pacific Ocean after being defeated by which South American country?","Chile","Peru|Brazil|Argentina"
"General Knowledge","boolean","easy","The CEO of tech company Apple following Steve Jobs is named Tim Apple.","False","True"
"Science: Mathematics","multiple","hard","What is the smallest number that can be expressed as the sum of two positive cubes in two different ways?","1729","91|561|4104"
"Science &amp; Nature","multiple","medium","What is the colour of unoxidized blood?","Red","Blue|Purple|Green"
"Entertainment: Video Games","multiple","hard","Which game in the &quot;Dark Souls&quot; series does the player play as the &quot;Ashen One&quot;?","Dark Souls III","Dark Souls I|Bloodborne|Demon Souls"
"Entertainment: Video Games","multiple","medium","Which weapon that was cut from the game &quot;Half Life 2&quot; was going to replace the crowbar?","Ice Axe","Fire Axe|Wrench|Hunting Knife"
"Entertainment: Music","multiple","hard","The key of sharps does the key of G# minor contain?","5","3|7|0"
"History","multiple","hard","Which of these positions did the astronomer and physicist Isaac Newton not hold?","Surveyor to the City of London","Professor of Mathematics|Warden of the Royal Mint|Member of Parliament"
"Science &amp; Nature","multiple","hard","If you planted the seeds of Quercus robur what would grow?","Trees","Flowers|Vegtables|Grains"
"Entertainment: Japanese Anime &amp; Manga","multiple","easy","What caused the titular mascot of Yo-Kai Watch, Jibanyan, to become a yokai?","Being run over by a truck","Ate one too many chocobars|Through a magical ritual|When he put on the harmaki"
"Entertainment: Music","multiple","medium","What animal is featured on the cover of English electronic music group The Prodigy&#039;s album, &quot;The Fat of the Land&quot;?","Crab","Fox|Elephant|Tiger"
"Entertainment: Video Games","multiple","easy","Who is the creator of Touhou project?","Zun","Jun|Twilight Frontier|Tasofro"
"Entertainment: Video Games","multiple","medium","When was the video game &quot;P.A.M.E.L.A.&quot; released on Steam?","March 9, 2017","January 7, 2007|October 23, 1997|February 16, 2015"
"General Knowledge","multiple","easy","What style of beer will typically have a higher than average hop content?","India Pale Ale","Stout|Extra Special Bitter|Scotch Ale"
"General Knowledge","multiple","medium","Which is the most popular spoken language in the Southern Hemisphere?","Portuguese","English |Spanish|French"
"Entertainment: Video Games","multiple","medium","Which of the following Call of Duty games was a PS3 launch title?","Call of Duty 3","Call of Duty 4: Modern Warfare|Call of Duty: World at War|Call of Duty: Roads to Victory"
"Geography","multiple","medium","In which English county is Stonehenge?","Wiltshire","Somerset|Cumbria|Herefordshire"
"Entertainment: Video Games","multiple","medium","Which unlockable character in Super Smash Bros. For Wii U and 3DS does not have to be fought to be unlocked?","Mii Fighters","Ness|R.O.B.|Mewtwo"
"Entertainment: Music","multiple","medium","Who was the lead singer and frontman of rock band R.E.M?","Michael Stipe","Chris Martin|Thom Yorke|George Michael"
"General Knowledge","multiple","easy","Which company did Valve cooperate with in the creation of the Vive?","HTC","Oculus|Google|Razer"
"Entertainment: Japanese Anime &amp; Manga","multiple","medium","In the series JoJo&#039;s Bizarre Adventure, which main character makes the greatest number of recurring appearances?","Jotaro Kujo","Giorno Giovanna|Joseph Joestar|Josuke Higashikata"
"Animals","boolean","medium","The Ceratosaurus, a dinosaur known for having a horn on the top of its nose, is also known to be a decendent of the Tyrannosaurus Rex.","False","True"
"Entertainment: Video Games","multiple","medium","Excluding their instructor, how many members of Class VII are there in the game &quot;Legend of Heroes: Trails of Cold Steel&quot;?","9","6|10|3"
"Entertainment: Video Games","boolean","hard","The retail disc of Tony Hawk&#039;s Pro Skater 5 only comes with the tutorial.","True","False"
"History","multiple","medium","In what year was the video game company Electronic Arts founded?","1982","1999|1981|2005"
"Entertainment: Video Games","boolean","easy","The main antagonist in the videogame Saints Row IV is an entity known as The Mastermind.","False","True"
"Entertainment: Music","boolean","medium","The country song  &ldquo;A Boy Named Sue&rdquo; was written by Shel Silverstein.","True","False"
"Mythology","multiple","medium","The Maori hold that which island nation was founded by Kupe, who discovered it under a long white cloud?","New Zealand","Vanuatu|Fiji|Hawaii"
"Entertainment: Film","multiple","hard","In the movie &quot;Scream&quot; who is Ghost Face?","Billy Loomis and Stu Macher","Dewey Riley|Sidney Prescott|Archie Prescott and Philip Marv"
"Entertainment: Video Games","multiple","hard","GoldenEye 007 on the Nintendo 64 was planned to allow you to play as all previous Bond actors, with the exception of who?","George Lazenby","Roger Moore|Sean Connery|Timothy Dalton"
"Entertainment: Video Games","multiple","medium","By how many minutes are you late to work in &quot;Half-Life&quot;?","30","5|60|15"
"Entertainment: Video Games","multiple","medium","What happened to Half-Life 2 prior to its release, which resulted in Valve starting over the development of the game?","The source code got leaked","They weren&#039;t satisfied with the result|The story was not good enough|Way too many bugs to be fixed"
"Science: Computers","multiple","medium","How many bytes are in a single Kibibyte?","1024","2400|1000|1240"
"History","multiple","medium"," What Russian automatic gas-operated assault rifle was developed in the Soviet Union in 1947, and is still popularly used today?","AK-47","RPK|M16|MG 42"
"Science &amp; Nature","boolean","hard","The chemical element Lithium is named after the country of Lithuania.","False","True"
"Entertainment: Video Games","boolean","easy","Each piece in Tetris is called a tetris.","False","True"
"Entertainment: Music","multiple","hard","What is the stage name of New Zealand singer Phillipa &quot;Pip&quot; Brown?","Ladyhawke","Lorde|Kesha|Anika Moa"
"Science &amp; Nature","multiple","medium","Which element has the atomic number of 7?","Nitrogen","Oxygen|Hydrogen|Neon"
"Science &amp; Nature","multiple","easy","What is the hottest planet in the Solar System?","Venus","Mars|Mercury|Jupiter"
"Science: Gadgets","multiple","easy","What does SSD stand for in the context of computer storage?"," Solid State Drive","Software Storage Device|Super Speed Data|Secure System Disk"
"Politics","multiple","hard","Who is the only US president to serve two non-consecutive terms in office?","Grover Cleveland","James K. Polk|Franklin D. Roosevelt|Thomas Jefferson"
"Entertainment: Music","multiple","hard","Who recorded the 1975 album &#039;Captain Fantastic and the Brown Dirt Cowboy&#039;?","Elton John","John Denver|Billy Joel|Joe Cocker"
"History","multiple","medium","The Tsar Bomba, the most powerful nuclear bomb ever tested, had a yield of 50 megatons but theoretically had a maximum yield of how much?","100 Megatons","200 Megatons|75 Megatons|150 Megatons"
"Entertainment: Japanese Anime &amp; Manga","multiple","hard","In the &quot;Dragon Ball&quot; franchise, what is the name of Goku&#039;s brother?","Raditz","Gohan|Vegeta|Bardock"
"Entertainment: Video Games","multiple","medium","One of the Nintendo Entertainment System voice channels supports playback of sound samples. Which one?","DMC","Noise|Triangle|Square"
"Entertainment: Comics","multiple","easy","What is the alter-ego of the DC comics character &quot;Superman&quot;?","Clark Kent","Bruce Wayne|Arthur Curry|John Jones"
"Entertainment: Cartoon &amp; Animations","multiple","hard","Which of these cartoon girlfriends of popular characters first appeared before their boyfriends?","Olive Oyl","Minnie Mouse|Lola Bunny|Daisy Duck"
"Entertainment: Video Games","multiple","medium","Phil Fish was the designer of which game?","Fez","Super Meat Boy|Hotline Miami|FTL"
"Sports","multiple","hard","Who is Manchester United&#039;s leading appearance maker?","Ryan Giggs","David Beckham|Wayne Rooney|Eric Cantona"
"Entertainment: Video Games","boolean","hard","In Undertale, having a &quot;Fun Value&quot; set to 56-57 will play the &quot;Wrong Number Song Call&quot;.","False","True"
"Entertainment: Japanese Anime &amp; Manga","multiple","medium","In &quot;JoJo&#039;s Bizarre Adventure: Stardust Crusaders&quot;, what is the last name of the protagonist Jotaro?","Kujo","Cujoh|Joestar|Higashikata"
"Entertainment: Japanese Anime &amp; Manga","multiple","medium","Which band name isn&#039;t a Stand in &quot;JoJo&#039;s Bizarre Adventure&quot;?","AC/DC","Green Day|Survivor|Red Hot Chili Peppers"
"Entertainment: Video Games","multiple","easy","Which Super Mario video game when they introduce Bowser Jr. for the first time?","Super Mario Sunshine","Mario Party series|Super Mario Galaxy|Mario &amp; Luigi: Bowser&#039;s Inside Story + Bowser Jr.&#039;s Journey"
"Entertainment: Comics","multiple","medium","In Calvin and Hobbes, what is the name of the principal at Calvin&#039;s school?","Mr. Spittle","Mr. Boreman|Mr. Spitling|Mr. Moe"
"General Knowledge","multiple","easy","What is &quot;dabbing&quot;?","A dance","A medical procedure|A sport|A language"
"Science &amp; Nature","multiple","medium","Myopia is the scientific term for which condition?","Shortsightedness","Farsightedness|Double Vision|Clouded Vision"
"Entertainment: Musicals &amp; Theatres","boolean","easy","In the play Oedipus Rex, Oedipus kills his father due to jealousy in loving his mother.","False","True"
